Numéro du tour; Age; Poisson; Requin

260;22;12;0;
260;23;8;0;
260;24;7;0;
260;25;4;0;
260;26;6;0;
260;27;1;1;
260;28;2;0;
260;3;8;0;
260;2;10;0;
260;1;15;0;
260;0;12;4;
260;7;8;0;
260;6;11;1;
260;5;9;1;
260;31;0;1;
260;4;11;0;
260;9;300;1;
260;8;4;1;
260;19;25;1;
260;17;35;0;
260;18;32;0;
260;15;70;0;
260;16;59;1;
260;13;123;0;
260;14;95;0;
260;11;217;0;
260;12;172;0;
260;21;18;3;
260;20;13;1;
260;10;293;4;

270;35;4;0;
270;36;5;0;
270;33;7;0;
270;34;7;0;
270;37;1;1;
270;38;2;0;
270;41;0;1;
270;22;147;0;
270;23;109;0;
270;24;86;0;
270;25;65;0;
270;26;53;1;
270;27;29;0;
270;28;28;0;
270;29;23;1;
270;3;21;0;
270;2;21;0;
270;1;22;0;
270;0;28;4;
270;7;9;1;
270;30;13;1;
270;6;14;1;
270;5;12;2;
270;32;11;0;
270;4;17;1;
270;31;15;3;
270;9;3;5;
270;8;13;2;
270;19;281;1;
270;17;6;0;
270;18;4;1;
270;15;7;1;
270;16;6;1;
270;13;4;0;
270;14;5;0;
270;11;7;0;
270;12;4;0;
270;21;194;0;
270;20;276;4;
270;10;5;4;

280;35;49;0;
280;36;39;1;
280;33;86;0;
280;34;68;0;
280;39;20;1;
280;37;23;0;
280;38;21;0;
280;43;7;0;
280;42;8;0;
280;41;13;3;
280;40;11;1;
280;22;1;0;
280;23;1;0;
280;24;5;0;
280;25;4;1;
280;26;3;1;
280;27;2;0;
280;28;2;1;
280;29;266;1;
280;3;30;1;
280;2;43;0;
280;1;46;0;
280;0;57;4;
280;7;13;3;
280;30;251;4;
280;6;17;2;
280;5;23;3;
280;32;121;0;
280;4;23;3;
280;31;170;0;
280;9;11;9;
280;8;9;7;
280;19;1;5;
280;17;6;1;
280;18;7;2;
280;15;5;2;
280;16;6;1;
280;13;6;0;
280;14;10;1;
280;11;10;0;
280;12;9;0;
280;21;4;0;
280;20;4;4;
280;48;1;0;
280;45;4;0;
280;44;4;0;
280;47;1;1;
280;46;2;0;
280;10;9;4;
280;51;0;1;

290;35;0;1;
290;36;2;1;
290;34;2;0;
290;39;238;1;
290;37;1;0;
290;38;1;1;
290;43;67;0;
290;42;86;0;
290;41;124;0;
290;40;196;4;
290;22;4;0;
290;23;3;0;
290;24;2;1;
290;25;1;2;
290;26;4;1;
290;27;3;1;
290;28;1;2;
290;29;0;5;
290;3;55;4;
290;2;58;1;
290;1;89;0;
290;0;112;4;
290;30;2;4;
290;7;25;10;
290;6;25;5;
290;32;1;0;
290;5;35;5;
290;31;1;0;
290;4;49;6;
290;9;15;13;
290;8;10;16;
290;57;0;1;
290;19;5;9;
290;55;3;0;
290;17;5;3;
290;18;3;7;
290;15;4;3;
290;16;6;2;
290;13;13;1;
290;14;11;3;
290;11;11;0;
290;12;10;0;
290;21;2;0;
290;20;2;4;
290;61;0;1;
290;49;10;1;
290;48;12;0;
290;45;30;0;
290;44;49;0;
290;47;13;0;
290;46;24;1;
290;10;14;4;
290;51;9;3;
290;52;5;0;
290;53;4;0;
290;54;2;0;
290;50;9;1;

300;35;1;2;
300;36;2;1;
300;33;1;0;
300;34;1;1;
300;39;0;5;
300;37;2;1;
300;38;0;2;
300;42;1;0;
300;40;0;4;
300;67;0;1;
